,ScripCode,TradingSymbol,Description,InstrumentType
380,14008,AVTNPL-EQ,AVT NATURAL PRODUCTS LTD,0
381,23864,AWFIS-EQ,AWFIS SPACE SOLUTIONS LTD,0
382,1797,AWHCL-EQ,ANTONY WASTE HDG CELL LTD,0
383,8110,AWL-EQ,ADANI WILMAR LIMITED,0
384,5900,AXISBANK-EQ,AXIS BANK LIMITED,0
385,1044,AXISBNKETF-EQ,AXISAMC - AXISBNKETF,0
386,3530,AXISBPSETF-EQ,AXISAMC - AXISBPSETF,0
387,9440,AXISCADES-BE,AXISCADES TECH LTD,0
388,5732,AXISCETF-EQ,AXISAMC - AXISCETF,0
389,20532,AXISGOLD-EQ,AXIS MF - AXIS GOLD ETF,0
390,3608,AXISHCETF-EQ,AXISAMC - AXISHCETF,0
391,11193,AXISILVER-EQ,AXISAMC - AXISILVER,0
392,21252,AXISNIFTY-EQ,AXISAMC - AXISNIFTY,0
393,3010,AXISTECETF-EQ,AXISAMC - AXISTECETF,0
394,9902,AXITA-EQ,AXITA COTTON LIMITED,0
395,14742,AXSENSEX-EQ,AXISAMC - AXSENSEX,0
396,10285,AYMSYNTEX-EQ,AYM SYNTEX LIMITED,0
397,20905,AZAD-EQ,AZAD ENGINEERING LIMITED,0
398,20141,BABAFP-SM,BABA FOOD PROCESSING,0
399,17735,BAFNAPH-BE,BAFNA PHARMACEUTICALS LTD,0
400,14075,BAGFILMS-BE,B.A.G FILMS AND MEDIA LTD,0
401,12996,BAHETI-ST,BAHETI RECYCLING IND LTD,0
402,13794,BAIDFIN-EQ,BAID FINSERV LIMITED,0
403,16669,BAJAJ-AUTO-EQ,BAJAJ AUTO LIMITED,0
404,19531,BAJAJCON-EQ,BAJAJ CONSUMER CARE LTD,0
405,15034,BAJAJELEC-EQ,BAJAJ ELECT.LTD,0
406,16675,BAJAJFINSV-EQ,BAJAJ FINSERV LTD.,0
407,6863,BAJAJHCARE-EQ,BAJAJ HEALTHCARE LIMITED,0
408,25270,BAJAJHFL-EQ,BAJAJ HOUSING FINANCE LTD,0
409,308,BAJAJHIND-EQ,BAJAJ HINDUSTHAN SUGAR LT,0
410,305,BAJAJHLDNG-EQ,BAJAJ HOLDINGS & INVS LTD,0
411,20531,BAJEL-EQ,BAJEL PROJECTS LIMITED,0
412,317,BAJFINANCE-EQ,BAJAJ FINANCE LIMITED,0
413,25203,BALAJEE-EQ,SHREE TIRUPATI BALAJEE L,0
414,9162,BALAJITELE-BE,BALAJI TELEFILMS LTD.,0
415,14501,BALAMINES-EQ,BALAJI AMINES LIMITED,0
416,11309,BALAXI-EQ,BALAXI PHARMA LTD,0
417,24882,BALCO-ST,SOLVE PLASTIC PRODUCTS L,0
418,10181,BALKRISHNA-EQ,BALKRISHNA PAPER MILLS L,0
419,335,BALKRISIND-EQ,BALKRISHNA IND. LTD,0
420,338,BALMLAWRIE-EQ,BALMER LAWRIE & CO LTD,0
